Audit Note,Extra on Amazon PDP,Matches on Amazon PDP,Missing on Amazon PDP,PDP Images,PDP Images Count,PDP PageURL,PageASIN,QueryASIN,Status,VC Images,VC Images Count,VC PageURL
"Discrepancy: 0 matches, 0 missing from Amazon, 6 extra on Amazon.",MAIN (41kgiiZYQmL); PT01 (4149l3kijOL); PT02 (41VcfP7ozpL); PT03 (3153e+o0O3L); PT04 (41M5aesqY8L); PT05 (41j6gUTD1AL),None,None,"[{""large"":""https://m.media-amazon.com/images/I/41kgiiZYQmL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/4149l3kijOL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41VcfP7ozpL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/3153e+o0O3L.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41M5aesqY8L.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/41j6gUTD1AL.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B07C4JT4R9,B07C4JT4R9,B07C4JT4R9,SUCCESS,[],,https://vendorcentral.amazon.com/imaging/manage?asins=B07C4JT4R9
"Discrepancy: 0 matches, 0 missing from Amazon, 6 extra on Amazon.",MAIN (41Fxd6V5XyL); PT01 (41juYHOJAdL); PT02 (51zL4ezOOfL); PT03 (41RFvpO6p-L); PT04 (41iixnqZ7FL); PT05 (51N8WQkY98L),None,None,"[{""large"":""https://m.media-amazon.com/images/I/41Fxd6V5XyL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41juYHOJAdL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/51zL4ezOOfL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41RFvpO6p-L.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41iixnqZ7FL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51N8WQkY98L.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B07C55LYKR,B07C55LYKR,B07C55LYKR,SUCCESS,[],,https://vendorcentral.amazon.com/imaging/manage?asins=B07C55LYKR
"Discrepancy: 0 matches, 0 missing from Amazon, 6 extra on Amazon.",MAIN (414vfOmsu9L); PT01 (51EM2AYnBcL); PT02 (51zL4ezOOfL); PT03 (41RFvpO6p-L); PT04 (41iixnqZ7FL); PT05 (51N8WQkY98L),None,None,"[{""large"":""https://m.media-amazon.com/images/I/414vfOmsu9L.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/51EM2AYnBcL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/51zL4ezOOfL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41RFvpO6p-L.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41iixnqZ7FL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51N8WQkY98L.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B07C584K4Y,B07C584K4Y,B07C584K4Y,SUCCESS,[],,https://vendorcentral.amazon.com/imaging/manage?asins=B07C584K4Y
"Discrepancy: 0 matches, 0 missing from Amazon, 6 extra on Amazon.",MAIN (41TSa5gff8L); PT01 (41ph8s-7WpL); PT02 (51zL4ezOOfL); PT03 (41RFvpO6p-L); PT04 (41iixnqZ7FL); PT05 (51N8WQkY98L),None,None,"[{""large"":""https://m.media-amazon.com/images/I/41TSa5gff8L.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41ph8s-7WpL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/51zL4ezOOfL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41RFvpO6p-L.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41iixnqZ7FL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51N8WQkY98L.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B07CQNMXN1,B07CQNMXN1,B07CQNMXN1,SUCCESS,[],,https://vendorcentral.amazon.com/imaging/manage?asins=B07CQNMXN1
"Discrepancy: 4 matches, 2 missing from Amazon, 2 extra on Amazon.",MAIN (41neHNOcBuL); PT02 (41tDwKX-HYL),PT01 (51Znyph5OEL); PT03 (41-tIENJwNL); PT04 (41zbFIAc2bL); PT05 (51GYMV84vDL),MAIN (41xQu2KRMjL); PT02 (41tc-WQ1GIL),"[{""large"":""https://m.media-amazon.com/images/I/41neHNOcBuL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/51Znyph5OEL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41tDwKX-HYL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41-tIENJwNL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41zbFIAc2bL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51GYMV84vDL.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B07F6SCXCV,B07F6SCXCV,B07F6SCXCV,SUCCESS,"[{""large"":""https://m.media-amazon.com/images/I/41xQu2KRMjL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/51Znyph5OEL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41tc-WQ1GIL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41-tIENJwNL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41zbFIAc2bL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51GYMV84vDL.jpg"",""variant"":""PT05""}]",6,https://vendorcentral.amazon.com/imaging/manage?asins=B07F6SCXCV
"Discrepancy: 4 matches, 2 missing from Amazon, 2 extra on Amazon.",MAIN (41drbISl52L); PT02 (41tDwKX-HYL),PT01 (51Znyph5OEL); PT03 (41hQISuM4cL); PT04 (41zbFIAc2bL); PT05 (51GYMV84vDL),MAIN (41P9BmD9SsL); PT02 (41tc-WQ1GIL),"[{""large"":""https://m.media-amazon.com/images/I/41drbISl52L.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/51Znyph5OEL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41tDwKX-HYL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41hQISuM4cL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41zbFIAc2bL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51GYMV84vDL.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B07F6VB2KW,B07F6VB2KW,B07F6VB2KW,SUCCESS,"[{""large"":""https://m.media-amazon.com/images/I/41P9BmD9SsL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/51Znyph5OEL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41tc-WQ1GIL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41hQISuM4cL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41zbFIAc2bL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51GYMV84vDL.jpg"",""variant"":""PT05""}]",6,https://vendorcentral.amazon.com/imaging/manage?asins=B07F6VB2KW
"Discrepancy: 5 matches, 1 missing from Amazon, 1 extra on Amazon.",MAIN (41UE8p8TPhL),PT01 (51Znyph5OEL); PT02 (41tc-WQ1GIL); PT03 (41AkiL4tmWL); PT04 (41zbFIAc2bL); PT05 (51GYMV84vDL),MAIN (41ZOSzkvy0L),"[{""large"":""https://m.media-amazon.com/images/I/41UE8p8TPhL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/51Znyph5OEL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41tc-WQ1GIL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41AkiL4tmWL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41zbFIAc2bL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51GYMV84vDL.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B07F6WYYJ5,B07F6WYYJ5,B07F6WYYJ5,SUCCESS,"[{""large"":""https://m.media-amazon.com/images/I/41ZOSzkvy0L.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/51Znyph5OEL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41tc-WQ1GIL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41AkiL4tmWL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41zbFIAc2bL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51GYMV84vDL.jpg"",""variant"":""PT05""}]",6,https://vendorcentral.amazon.com/imaging/manage?asins=B07F6WYYJ5
"Discrepancy: 0 matches, 0 missing from Amazon, 6 extra on Amazon.",MAIN (518n-QfO24L); PT01 (41vf6JOpCbL); PT02 (41Eb6w1f6qL); PT03 (31KWVquFU2L); PT04 (31BjXFZpPzL); PT05 (41q5n-nGZDL),None,None,"[{""large"":""https://m.media-amazon.com/images/I/518n-QfO24L.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41vf6JOpCbL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41Eb6w1f6qL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/31KWVquFU2L.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/31BjXFZpPzL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/41q5n-nGZDL.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B07R4PXC7B,B07R4PXC7B,B07R4PXC7B,SUCCESS,[],,https://vendorcentral.amazon.com/imaging/manage?asins=B07R4PXC7B
"Discrepancy: 0 matches, 0 missing from Amazon, 6 extra on Amazon.",MAIN (51pTOvGAoSL); PT01 (418Dc4sBaRL); PT02 (41GU1Fl+XHL); PT03 (31ynGLeIl8L); PT04 (41ufTAEQJBL); PT05 (51exMkt9v3L),None,None,"[{""large"":""https://m.media-amazon.com/images/I/51pTOvGAoSL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/418Dc4sBaRL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41GU1Fl+XHL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/31ynGLeIl8L.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41ufTAEQJBL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51exMkt9v3L.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B07RBR1Y83,B07RBR1Y83,B07RBR1Y83,SUCCESS,[],,https://vendorcentral.amazon.com/imaging/manage?asins=B07RBR1Y83
"Discrepancy: 5 matches, 1 missing from Amazon, 1 extra on Amazon.",MAIN (31BGPXWD2ZL),PT01 (41MkrHsNOhL); PT02 (41tc-WQ1GIL); PT03 (41hQISuM4cL); PT04 (41yVbkBmrJL); PT05 (51GYMV84vDL),MAIN (41fyNOLfE7L),"[{""large"":""https://m.media-amazon.com/images/I/31BGPXWD2ZL.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41MkrHsNOhL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41tc-WQ1GIL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41hQISuM4cL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41yVbkBmrJL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51GYMV84vDL.jpg"",""variant"":""PT05""}]",6,https://www.amazon.ca/dp/B07RHQMVKH,B07RHQMVKH,B07RHQMVKH,SUCCESS,"[{""large"":""https://m.media-amazon.com/images/I/41fyNOLfE7L.jpg"",""variant"":""MAIN""},{""large"":""https://m.media-amazon.com/images/I/41MkrHsNOhL.jpg"",""variant"":""PT01""},{""large"":""https://m.media-amazon.com/images/I/41tc-WQ1GIL.jpg"",""variant"":""PT02""},{""large"":""https://m.media-amazon.com/images/I/41hQISuM4cL.jpg"",""variant"":""PT03""},{""large"":""https://m.media-amazon.com/images/I/41yVbkBmrJL.jpg"",""variant"":""PT04""},{""large"":""https://m.media-amazon.com/images/I/51GYMV84vDL.jpg"",""variant"":""PT05""}]",6,https://vendorcentral.amazon.com/imaging/manage?asins=B07RHQMVKH
